theta,phi,radius, strengths
1.5707963267948966,0.3490658503988659,33,4025
1.5707963267948966,0.3839724354387525,63,2343
1.5707963267948966,0.41887902047863906,61,2538
1.5707963267948966,0.4537856055185257,58,2779
1.5707963267948966,0.4886921905584123,56,2954
1.5707963267948966,0.5235987755982988,51,3596
1.5707963267948966,0.5585053606381855,49,3754
1.5707963267948966,0.5934119456780721,47,4210
1.5707963267948966,0.6283185307179586,44,5431
1.5707963267948966,0.6632251157578452,42,5926
1.5707963267948966,0.6981317007977318,39,6602
1.5707963267948966,0.7330382858376184,37,6860
1.5707963267948966,0.767944870877505,35,7757
1.5707963267948966,0.8028514559173915,35,7794
1.5707963267948966,0.8377580409572781,34,8100
1.5707963267948966,0.8726646259971648,33,8656
1.5707963267948966,0.9075712110370514,32,9819
1.5707963267948966,0.9424777960769379,31,10798
1.5707963267948966,0.9773843811168246,30,11417
1.5707963267948966,1.0122909661567112,29,11960
1.5707963267948966,1.0471975511965976,28,13387
1.5707963267948966,1.0821041362364843,28,12966
1.5707963267948966,1.117010721276371,28,13455
1.5707963267948966,1.1519173063162575,27,14347
1.5707963267948966,1.1868238913561442,27,15304
1.5707963267948966,1.2217304763960306,27,14483
1.5707963267948966,1.2566370614359172,26,11952
1.5707963267948966,1.2915436464758039,26,11814
1.5707963267948966,1.3264502315156903,25,11883
1.5707963267948966,1.361356816555577,25,12661
1.5707963267948966,1.3962634015954636,24,13149
1.5707963267948966,1.43116998663535,25,12636
1.5707963267948966,1.4660765716752369,25,12878
1.5707963267948966,1.5009831567151233,24,11924
1.5707963267948966,1.53588974175501,24,12053
1.5707963267948966,1.5707963267948966,24,12109
1.5707963267948966,1.605702911834783,24,12537
1.5707963267948966,1.6406094968746698,24,12324
1.5707963267948966,1.6755160819145563,24,13262
1.5707963267948966,1.710422666954443,25,17084
1.5707963267948966,1.7453292519943295,25,16685
1.5707963267948966,1.780235837034216,26,15837
1.5707963267948966,1.8151424220741028,26,15377
1.5707963267948966,1.8500490071139892,27,13685
1.5707963267948966,1.8849555921538759,28,14283
1.5707963267948966,1.9198621771937625,28,13980
1.5707963267948966,1.9547687622336491,29,12913
1.5707963267948966,1.9896753472735356,32,11064
1.5707963267948966,2.0245819323134224,32,10505
1.5707963267948966,2.0594885173533086,32,9497
1.5707963267948966,2.0943951023931953,31,8794
1.5707963267948966,2.129301687433082,31,8703
1.5707963267948966,2.1642082724729685,31,9652
1.5707963267948966,2.199114857512855,31,9814
1.5707963267948966,2.234021442552742,30,10434
1.5707963267948966,2.2689280275926285,30,10230
1.5707963267948966,2.303834612632515,30,10569
1.5707963267948966,2.3387411976724013,30,11275
1.5707963267948966,2.3736477827122884,30,10727
1.5707963267948966,2.4085543677521746,30,10859
1.5707963267948966,2.443460952792061,29,12030
1.5707963267948966,2.478367537831948,29,12227
1.5707963267948966,2.5132741228718345,29,11401
1.5707963267948966,2.548180707911721,29,11817
1.5707963267948966,2.5830872929516078,29,11224
1.5707963267948966,2.6179938779914944,29,11922
1.5707963267948966,2.6529004630313806,29,12180
1.5707963267948966,2.6878070480712677,30,11761
1.5707963267948966,2.722713633111154,30,12458
1.5707963267948966,2.7576202181510405,30,12626
1.5707963267948966,2.792526803190927,31,12696
1.5707963267948966,2.827433388230814,30,13220
1.5707963267948966,2.8623399732707,29,13421
1.5707963267948966,2.897246558310587,30,12847
1.5707963267948966,2.9321531433504737,30,12670
1.5707963267948966,2.9670597283903604,29,13018
1.5707963267948966,3.0019663134302466,29,11580
1.5707963267948966,3.036872898470133,30,8214
1.5707963267948966,3.07177948351002,28,11749
1.5707963267948966,3.106686068549907,29,12170
1.5707963267948966,3.141592653589793,29,12218
1.53588974175501,3.141592653589793,39,6878
1.53588974175501,3.106686068549907,40,4781
1.53588974175501,3.07177948351002,41,6519
1.53588974175501,3.036872898470133,41,6916
1.53588974175501,3.0019663134302466,41,6414
1.53588974175501,2.9670597283903604,41,6287
1.53588974175501,2.9321531433504737,42,6225
1.53588974175501,2.897246558310587,43,6399
1.53588974175501,2.8623399732707,41,7923
1.53588974175501,2.827433388230814,41,8544
1.53588974175501,2.792526803190927,41,7942
1.53588974175501,2.7576202181510405,41,8097
1.53588974175501,2.722713633111154,41,8053
1.53588974175501,2.6878070480712677,42,7549
1.53588974175501,2.6529004630313806,41,7750
1.53588974175501,2.6179938779914944,41,7679
1.53588974175501,2.5830872929516078,40,7150
1.53588974175501,2.548180707911721,40,6113
1.53588974175501,2.5132741228718345,42,5786
1.53588974175501,2.478367537831948,44,5557
1.53588974175501,2.443460952792061,45,5365
1.53588974175501,2.4085543677521746,45,5187
1.53588974175501,2.3736477827122884,46,4739
1.53588974175501,2.3387411976724013,45,4455
1.53588974175501,2.303834612632515,45,4311
1.53588974175501,2.2689280275926285,45,4351
1.53588974175501,2.234021442552742,44,4436
1.53588974175501,2.199114857512855,44,4468
1.53588974175501,2.1642082724729685,45,4635
1.53588974175501,2.129301687433082,44,4676
1.53588974175501,2.0943951023931953,44,4836
1.53588974175501,2.0594885173533086,44,5677
1.53588974175501,2.0245819323134224,45,5574
1.53588974175501,1.9896753472735356,46,5113
1.53588974175501,1.9547687622336491,46,4118
1.53588974175501,1.9198621771937625,46,4024
1.53588974175501,1.8849555921538759,46,4154
1.53588974175501,1.8500490071139892,45,4180
1.53588974175501,1.8151424220741028,47,3911
1.53588974175501,1.780235837034216,48,4021
1.53588974175501,1.7453292519943295,49,4318
1.53588974175501,1.710422666954443,51,4344
1.53588974175501,1.6755160819145563,50,4682
1.53588974175501,1.6406094968746698,49,4993
1.53588974175501,1.605702911834783,49,5023
1.53588974175501,1.5707963267948966,49,4920
1.53588974175501,1.53588974175501,50,4869
1.53588974175501,1.5009831567151233,52,4421
1.53588974175501,1.4660765716752369,52,4315
1.53588974175501,1.43116998663535,53,4279
1.53588974175501,1.3962634015954636,39,8206
1.53588974175501,1.361356816555577,40,7938
1.53588974175501,1.3264502315156903,40,7196
1.53588974175501,1.2915436464758039,42,5198
1.53588974175501,1.2566370614359172,43,5079
1.53588974175501,1.2217304763960306,44,5255
1.53588974175501,1.1868238913561442,44,4963
1.53588974175501,1.1519173063162575,45,4636
1.53588974175501,1.117010721276371,48,4168
1.53588974175501,1.0821041362364843,47,4318
1.53588974175501,1.0471975511965976,48,4313
1.53588974175501,1.0122909661567112,49,4369
1.53588974175501,0.9773843811168246,50,4027
1.53588974175501,0.9424777960769379,52,3895
1.53588974175501,0.9075712110370514,51,3726
1.53588974175501,0.8726646259971648,54,3128
1.53588974175501,0.8377580409572781,55,2922
1.53588974175501,0.8028514559173915,56,2811
1.53588974175501,0.767944870877505,58,2595
1.53588974175501,0.7330382858376184,63,2096
1.53588974175501,0.6981317007977318,68,1837
1.53588974175501,0.6632251157578452,82,1619
1.53588974175501,0.6283185307179586,96,3512
1.53588974175501,0.5934119456780721,96,3198
1.53588974175501,0.5585053606381855,99,2729
1.53588974175501,0.5235987755982988,101,2584
1.53588974175501,0.4886921905584123,105,2360
1.53588974175501,0.4537856055185257,112,2201
1.53588974175501,0.41887902047863906,116,2423
1.53588974175501,0.3839724354387525,122,2684
1.53588974175501,0.3490658503988659,130,2621
1.5009831567151233,0.3490658503988659,208,1748
1.5009831567151233,0.3839724354387525,249,6903
1.5009831567151233,0.41887902047863906,214,1802
1.5009831567151233,0.4537856055185257,163,16348
1.5009831567151233,0.4886921905584123,239,2464
1.5009831567151233,0.5235987755982988,223,2530
1.5009831567151233,0.5585053606381855,218,2578
1.5009831567151233,0.5934119456780721,199,3888
