theta,phi,radius, strengths
1.5707963267948966,0.3490658503988659,250,6894
1.5707963267948966,0.3839724354387525,62,11081
1.5707963267948966,0.41887902047863906,59,12068
1.5707963267948966,0.4537856055185257,53,13690
1.5707963267948966,0.4886921905584123,50,16997
1.5707963267948966,0.5235987755982988,49,2623
1.5707963267948966,0.5585053606381855,47,2759
1.5707963267948966,0.5934119456780721,49,4409
1.5707963267948966,0.6283185307179586,46,4778
1.5707963267948966,0.6632251157578452,44,5144
1.5707963267948966,0.6981317007977318,40,6188
1.5707963267948966,0.7330382858376184,40,6280
1.5707963267948966,0.767944870877505,38,6963
1.5707963267948966,0.8028514559173915,37,7046
1.5707963267948966,0.8377580409572781,36,8099
1.5707963267948966,0.8726646259971648,35,9357
1.5707963267948966,0.9075712110370514,35,8948
1.5707963267948966,0.9424777960769379,34,9050
1.5707963267948966,0.9773843811168246,32,10164
1.5707963267948966,1.0122909661567112,32,10936
1.5707963267948966,1.0471975511965976,31,11033
1.5707963267948966,1.0821041362364843,30,11858
1.5707963267948966,1.117010721276371,30,11882
1.5707963267948966,1.1519173063162575,30,11163
1.5707963267948966,1.1868238913561442,29,10631
1.5707963267948966,1.2217304763960306,29,10911
1.5707963267948966,1.2566370614359172,29,10838
1.5707963267948966,1.2915436464758039,29,11813
1.5707963267948966,1.3264502315156903,28,12322
1.5707963267948966,1.361356816555577,29,12056
1.5707963267948966,1.3962634015954636,29,11096
1.5707963267948966,1.43116998663535,29,10820
1.5707963267948966,1.4660765716752369,28,11437
1.5707963267948966,1.5009831567151233,28,11864
1.5707963267948966,1.53588974175501,28,11863
1.5707963267948966,1.5707963267948966,27,14187
1.5707963267948966,1.605702911834783,28,15305
1.5707963267948966,1.6406094968746698,30,12092
1.5707963267948966,1.6755160819145563,30,11956
1.5707963267948966,1.710422666954443,30,12128
1.5707963267948966,1.7453292519943295,30,13253
1.5707963267948966,1.780235837034216,30,13357
1.5707963267948966,1.8151424220741028,31,12805
1.5707963267948966,1.8500490071139892,31,12475
1.5707963267948966,1.8849555921538759,32,10890
1.5707963267948966,1.9198621771937625,32,10458
1.5707963267948966,1.9547687622336491,33,10261
1.5707963267948966,1.9896753472735356,33,8745
1.5707963267948966,2.0245819323134224,32,8812
