theta,phi,radius, strengths
1.5707963267948966,0.3490658503988659,218,11025
1.5707963267948966,0.3839724354387525,61,6551
1.5707963267948966,0.41887902047863906,58,7370
1.5707963267948966,0.4537856055185257,58,7646
1.5707963267948966,0.4886921905584123,55,8400
1.5707963267948966,0.5235987755982988,55,8582
1.5707963267948966,0.5585053606381855,52,9469
1.5707963267948966,0.5934119456780721,47,12079
1.5707963267948966,0.6283185307179586,44,14394
1.5707963267948966,0.6632251157578452,42,15488
1.5707963267948966,0.6981317007977318,40,16866
1.5707963267948966,0.7330382858376184,38,18305
1.5707963267948966,0.767944870877505,36,20558
1.5707963267948966,0.8028514559173915,38,2718
1.5707963267948966,0.8377580409572781,36,2736
1.5707963267948966,0.8726646259971648,36,2869
1.5707963267948966,0.9075712110370514,35,3324
1.5707963267948966,0.9424777960769379,35,3578
1.5707963267948966,0.9773843811168246,33,3653
1.5707963267948966,1.0122909661567112,33,4111
1.5707963267948966,1.0471975511965976,32,4403
1.5707963267948966,1.0821041362364843,31,4618
1.5707963267948966,1.117010721276371,30,4557
1.5707963267948966,1.1519173063162575,30,4959
1.5707963267948966,1.1868238913561442,29,5279
1.5707963267948966,1.2217304763960306,29,5273
1.5707963267948966,1.2566370614359172,29,4200
1.5707963267948966,1.2915436464758039,28,4251
1.5707963267948966,1.3264502315156903,28,4230
1.5707963267948966,1.361356816555577,26,4742
1.5707963267948966,1.3962634015954636,26,4557
1.5707963267948966,1.43116998663535,26,4830
1.5707963267948966,1.4660765716752369,26,4894
1.5707963267948966,1.5009831567151233,25,4487
1.5707963267948966,1.53588974175501,25,4418
1.5707963267948966,1.5707963267948966,25,4415
1.5707963267948966,1.605702911834783,25,4566
1.5707963267948966,1.6406094968746698,26,4602
1.5707963267948966,1.6755160819145563,26,4626
1.5707963267948966,1.710422666954443,27,5562
1.5707963267948966,1.7453292519943295,28,5366
1.5707963267948966,1.780235837034216,28,5531
1.5707963267948966,1.8151424220741028,27,5478
1.5707963267948966,1.8500490071139892,27,5666
1.5707963267948966,1.8849555921538759,27,5780
1.5707963267948966,1.9198621771937625,27,5488
1.5707963267948966,1.9547687622336491,27,5432
1.5707963267948966,1.9896753472735356,27,5605
1.5707963267948966,2.0245819323134224,27,5269
1.5707963267948966,2.0594885173533086,28,5225
1.5707963267948966,2.0943951023931953,28,5029
1.5707963267948966,2.129301687433082,28,4708
1.5707963267948966,2.1642082724729685,27,4957
1.5707963267948966,2.199114857512855,28,4636
1.5707963267948966,2.234021442552742,28,4675
1.5707963267948966,2.2689280275926285,27,4817
1.5707963267948966,2.303834612632515,27,4936
1.5707963267948966,2.3387411976724013,27,5284
1.5707963267948966,2.3736477827122884,27,5439
1.5707963267948966,2.4085543677521746,27,5413
1.5707963267948966,2.443460952792061,27,5081
1.5707963267948966,2.478367537831948,27,5216
1.5707963267948966,2.5132741228718345,26,5290
1.5707963267948966,2.548180707911721,27,5290
1.5707963267948966,2.5830872929516078,27,5239
1.5707963267948966,2.6179938779914944,27,5204
1.5707963267948966,2.6529004630313806,27,4919
1.5707963267948966,2.6878070480712677,28,4888
1.5707963267948966,2.722713633111154,28,5033
1.5707963267948966,2.7576202181510405,28,4998
1.5707963267948966,2.792526803190927,28,5577
1.5707963267948966,2.827433388230814,28,6017
1.5707963267948966,2.8623399732707,28,6545
1.5707963267948966,2.897246558310587,29,6394
1.5707963267948966,2.9321531433504737,29,5878
1.5707963267948966,2.9670597283903604,29,6019
1.5707963267948966,3.0019663134302466,29,3468
1.5707963267948966,3.036872898470133,28,5217
1.5707963267948966,3.07177948351002,29,5638
1.5707963267948966,3.106686068549907,29,5768
1.5707963267948966,3.141592653589793,29,5731
1.53588974175501,3.141592653589793,37,3823
1.53588974175501,3.106686068549907,36,3403
1.53588974175501,3.07177948351002,35,2879
1.53588974175501,3.036872898470133,37,3344
1.53588974175501,3.0019663134302466,36,3621
1.53588974175501,2.9670597283903604,36,3727
1.53588974175501,2.9321531433504737,36,3465
1.53588974175501,2.897246558310587,35,3767
1.53588974175501,2.8623399732707,35,4003
1.53588974175501,2.827433388230814,35,4173
1.53588974175501,2.792526803190927,33,4586
1.53588974175501,2.7576202181510405,33,4334
1.53588974175501,2.722713633111154,32,4508
1.53588974175501,2.6878070480712677,33,4275
1.53588974175501,2.6529004630313806,33,4063
1.53588974175501,2.6179938779914944,32,4242
1.53588974175501,2.5830872929516078,32,4060
1.53588974175501,2.548180707911721,33,3806
1.53588974175501,2.5132741228718345,33,3974
1.53588974175501,2.478367537831948,33,4088
1.53588974175501,2.443460952792061,33,3899
1.53588974175501,2.4085543677521746,33,3544
1.53588974175501,2.3736477827122884,33,3536
1.53588974175501,2.3387411976724013,34,3586
1.53588974175501,2.303834612632515,33,3643
1.53588974175501,2.2689280275926285,33,3725
1.53588974175501,2.234021442552742,32,3945
1.53588974175501,2.199114857512855,31,3708
1.53588974175501,2.1642082724729685,32,3754
1.53588974175501,2.129301687433082,32,3354
1.53588974175501,2.0943951023931953,32,3519
1.53588974175501,2.0594885173533086,31,3909
1.53588974175501,2.0245819323134224,32,4046
1.53588974175501,1.9896753472735356,32,3986
1.53588974175501,1.9547687622336491,32,4282
1.53588974175501,1.9198621771937625,32,4777
1.53588974175501,1.8849555921538759,32,4796
1.53588974175501,1.8500490071139892,32,4944
1.53588974175501,1.8151424220741028,33,4041
1.53588974175501,1.780235837034216,32,4096
1.53588974175501,1.7453292519943295,33,3794
1.53588974175501,1.710422666954443,32,4291
1.53588974175501,1.6755160819145563,32,3925
1.53588974175501,1.6406094968746698,33,4154
1.53588974175501,1.605702911834783,32,4180
1.53588974175501,1.5707963267948966,33,4287
1.53588974175501,1.53588974175501,33,4176
1.53588974175501,1.5009831567151233,34,3971
1.53588974175501,1.4660765716752369,34,3986
1.53588974175501,1.43116998663535,35,3626
1.53588974175501,1.3962634015954636,35,3961
1.53588974175501,1.361356816555577,36,3601
1.53588974175501,1.3264502315156903,36,3503
1.53588974175501,1.2915436464758039,36,3327
1.53588974175501,1.2566370614359172,38,2391
1.53588974175501,1.2217304763960306,39,2271
1.53588974175501,1.1868238913561442,41,2397
1.53588974175501,1.1519173063162575,40,2419
1.53588974175501,1.117010721276371,41,2148
1.53588974175501,1.0821041362364843,43,1988
1.53588974175501,1.0471975511965976,45,1830
1.53588974175501,1.0122909661567112,47,1742
1.53588974175501,0.9773843811168246,48,1759
1.53588974175501,0.9424777960769379,49,4426
1.53588974175501,0.9075712110370514,50,4091
1.53588974175501,0.8726646259971648,54,3437
1.53588974175501,0.8377580409572781,55,2883
1.53588974175501,0.8028514559173915,58,2700
1.53588974175501,0.767944870877505,59,2612
1.53588974175501,0.7330382858376184,65,1926
1.53588974175501,0.6981317007977318,72,1665
1.53588974175501,0.6632251157578452,86,1518
1.53588974175501,0.6283185307179586,104,3104
1.53588974175501,0.5934119456780721,102,2990
1.53588974175501,0.5585053606381855,102,2861
1.53588974175501,0.5235987755982988,102,2894
1.53588974175501,0.4886921905584123,107,2649
1.53588974175501,0.4537856055185257,111,2536
1.53588974175501,0.41887902047863906,112,2984
1.53588974175501,0.3839724354387525,117,3277
1.53588974175501,0.3490658503988659,123,3120
1.5009831567151233,0.3490658503988659,202,1684
1.5009831567151233,0.3839724354387525,250,6943
1.5009831567151233,0.41887902047863906,216,1492
1.5009831567151233,0.4537856055185257,222,5832
1.5009831567151233,0.4886921905584123,215,3412
1.5009831567151233,0.5235987755982988,221,2594
1.5009831567151233,0.5585053606381855,215,2663
1.5009831567151233,0.5934119456780721,201,4509
1.5009831567151233,0.6283185307179586,199,4037
1.5009831567151233,0.6632251157578452,195,3808
1.5009831567151233,0.6981317007977318,168,2129
1.5009831567151233,0.7330382858376184,154,2063
1.5009831567151233,0.767944870877505,146,1990
1.5009831567151233,0.8028514559173915,133,2120
1.5009831567151233,0.8377580409572781,117,2021
1.5009831567151233,0.8726646259971648,115,2481
1.5009831567151233,0.9075712110370514,109,3079
1.5009831567151233,0.9424777960769379,104,3411
1.5009831567151233,0.9773843811168246,97,3834
1.5009831567151233,1.0122909661567112,94,3995
1.5009831567151233,1.0471975511965976,86,4534
1.5009831567151233,1.0821041362364843,82,5065
1.5009831567151233,1.117010721276371,76,5642
1.5009831567151233,1.1519173063162575,69,7289
1.5009831567151233,1.1868238913561442,68,7456
1.5009831567151233,1.2217304763960306,66,8419
1.5009831567151233,1.2566370614359172,64,9080
1.5009831567151233,1.2915436464758039,62,9615
1.5009831567151233,1.3264502315156903,60,10546
1.5009831567151233,1.361356816555577,64,8261
