theta,phi,radius, strengths
1.5707963267948966,0.3490658503988659,251,6965
1.5707963267948966,0.3839724354387525,79,3463
1.5707963267948966,0.41887902047863906,71,4058
1.5707963267948966,0.4537856055185257,69,5017
1.5707963267948966,0.4886921905584123,68,5621
1.5707963267948966,0.5235987755982988,64,6294
1.5707963267948966,0.5585053606381855,61,6887
1.5707963267948966,0.5934119456780721,58,8234
1.5707963267948966,0.6283185307179586,54,10400
1.5707963267948966,0.6632251157578452,51,11113
1.5707963267948966,0.6981317007977318,47,11764
1.5707963267948966,0.7330382858376184,45,13383
1.5707963267948966,0.767944870877505,43,13611
1.5707963267948966,0.8028514559173915,43,14193
1.5707963267948966,0.8377580409572781,41,15889
1.5707963267948966,0.8726646259971648,41,15423
1.5707963267948966,0.9075712110370514,41,16539
1.5707963267948966,0.9424777960769379,39,18554
1.5707963267948966,0.9773843811168246,38,19653
1.5707963267948966,1.0122909661567112,38,19586
1.5707963267948966,1.0471975511965976,37,19262
1.5707963267948966,1.0821041362364843,38,2738
1.5707963267948966,1.117010721276371,39,2747
1.5707963267948966,1.1519173063162575,38,3047
1.5707963267948966,1.1868238913561442,38,2760
1.5707963267948966,1.2217304763960306,37,2621
1.5707963267948966,1.2566370614359172,36,2804
1.5707963267948966,1.2915436464758039,36,3454
1.5707963267948966,1.3264502315156903,36,3573
1.5707963267948966,1.361356816555577,35,3845
1.5707963267948966,1.3962634015954636,35,3819
1.5707963267948966,1.43116998663535,35,3780
1.5707963267948966,1.4660765716752369,34,3879
1.5707963267948966,1.5009831567151233,35,4011
1.5707963267948966,1.53588974175501,34,4064
1.5707963267948966,1.5707963267948966,34,4325
1.5707963267948966,1.605702911834783,34,3993
1.5707963267948966,1.6406094968746698,34,4152
1.5707963267948966,1.6755160819145563,34,3554
1.5707963267948966,1.710422666954443,36,2879
1.5707963267948966,1.7453292519943295,37,2769
1.5707963267948966,1.780235837034216,36,2961
1.5707963267948966,1.8151424220741028,36,3243
1.5707963267948966,1.8500490071139892,36,3177
1.5707963267948966,1.8849555921538759,36,3590
1.5707963267948966,1.9198621771937625,36,3634
1.5707963267948966,1.9547687622336491,36,3471
1.5707963267948966,1.9896753472735356,36,3444
1.5707963267948966,2.0245819323134224,37,3443
1.5707963267948966,2.0594885173533086,38,2815
1.5707963267948966,2.0943951023931953,38,2697
1.5707963267948966,2.129301687433082,37,2817
1.5707963267948966,2.1642082724729685,37,2995
1.5707963267948966,2.199114857512855,36,3025
1.5707963267948966,2.234021442552742,36,3173
