theta,phi,radius, strengths
1.5707963267948966,0.3490658503988659,52,3623
1.5707963267948966,0.3839724354387525,43,5272
1.5707963267948966,0.41887902047863906,41,6916
1.5707963267948966,0.4537856055185257,40,7492
1.5707963267948966,0.4886921905584123,39,7618
1.5707963267948966,0.5235987755982988,35,9001
1.5707963267948966,0.5585053606381855,33,8663
1.5707963267948966,0.5934119456780721,32,8651
1.5707963267948966,0.6283185307179586,32,8804
1.5707963267948966,0.6632251157578452,30,9918
1.5707963267948966,0.6981317007977318,29,9845
1.5707963267948966,0.7330382858376184,28,10437
1.5707963267948966,0.767944870877505,28,10821
1.5707963267948966,0.8028514559173915,27,11139
1.5707963267948966,0.8377580409572781,27,11308
1.5707963267948966,0.8726646259971648,27,11082
1.5707963267948966,0.9075712110370514,27,11684
1.5707963267948966,0.9424777960769379,27,12288
1.5707963267948966,0.9773843811168246,26,12945
1.5707963267948966,1.0122909661567112,26,12700
1.5707963267948966,1.0471975511965976,25,14159
1.5707963267948966,1.0821041362364843,25,14539
1.5707963267948966,1.117010721276371,24,15196
1.5707963267948966,1.1519173063162575,25,14616
1.5707963267948966,1.1868238913561442,25,13474
1.5707963267948966,1.2217304763960306,25,13888
1.5707963267948966,1.2566370614359172,25,13336
1.5707963267948966,1.2915436464758039,25,14018
1.5707963267948966,1.3264502315156903,25,14863
1.5707963267948966,1.361356816555577,25,14840
1.5707963267948966,1.3962634015954636,24,16911
1.5707963267948966,1.43116998663535,25,15726
1.5707963267948966,1.4660765716752369,25,11689
1.5707963267948966,1.5009831567151233,25,10939
1.5707963267948966,1.53588974175501,25,10491
1.5707963267948966,1.5707963267948966,24,11664
1.5707963267948966,1.605702911834783,25,12212
1.5707963267948966,1.6406094968746698,25,11468
1.5707963267948966,1.6755160819145563,25,11438
1.5707963267948966,1.710422666954443,25,11197
1.5707963267948966,1.7453292519943295,27,11476
1.5707963267948966,1.780235837034216,29,10432
1.5707963267948966,1.8151424220741028,29,10409
1.5707963267948966,1.8500490071139892,29,9958
1.5707963267948966,1.8849555921538759,29,11838
1.5707963267948966,1.9198621771937625,29,12887
1.5707963267948966,1.9547687622336491,29,12788
1.5707963267948966,1.9896753472735356,29,12870
1.5707963267948966,2.0245819323134224,29,12737
1.5707963267948966,2.0594885173533086,29,13179
1.5707963267948966,2.0943951023931953,29,13112
1.5707963267948966,2.129301687433082,28,12859
1.5707963267948966,2.1642082724729685,28,12963
1.5707963267948966,2.199114857512855,27,13597
1.5707963267948966,2.234021442552742,28,13605
1.5707963267948966,2.2689280275926285,28,14532
1.5707963267948966,2.303834612632515,28,13665
1.5707963267948966,2.3387411976724013,27,11671
1.5707963267948966,2.3736477827122884,27,12356
1.5707963267948966,2.4085543677521746,28,12303
1.5707963267948966,2.443460952792061,28,13596
1.5707963267948966,2.478367537831948,29,13650
