theta,phi,radius, strengths
1.5707963267948966,0.3490658503988659,97,2665
1.5707963267948966,0.3839724354387525,88,2759
1.5707963267948966,0.41887902047863906,77,3309
1.5707963267948966,0.4537856055185257,74,4888
1.5707963267948966,0.4886921905584123,69,5640
1.5707963267948966,0.5235987755982988,64,6132
1.5707963267948966,0.5585053606381855,64,6153
1.5707963267948966,0.5934119456780721,56,8290
1.5707963267948966,0.6283185307179586,50,10863
1.5707963267948966,0.6632251157578452,47,12124
1.5707963267948966,0.6981317007977318,42,14132
1.5707963267948966,0.7330382858376184,42,14875
1.5707963267948966,0.767944870877505,38,17944
1.5707963267948966,0.8028514559173915,37,19536
1.5707963267948966,0.8377580409572781,36,20271
1.5707963267948966,0.8726646259971648,35,2905
1.5707963267948966,0.9075712110370514,35,3409
1.5707963267948966,0.9424777960769379,34,3702
1.5707963267948966,0.9773843811168246,32,4009
1.5707963267948966,1.0122909661567112,32,4037
1.5707963267948966,1.0471975511965976,31,4639
1.5707963267948966,1.0821041362364843,30,4815
1.5707963267948966,1.117010721276371,29,5036
1.5707963267948966,1.1519173063162575,29,5187
1.5707963267948966,1.1868238913561442,28,5503
1.5707963267948966,1.2217304763960306,29,5091
1.5707963267948966,1.2566370614359172,28,4262
1.5707963267948966,1.2915436464758039,27,4276
1.5707963267948966,1.3264502315156903,27,4374
1.5707963267948966,1.361356816555577,25,5131
1.5707963267948966,1.3962634015954636,24,5190
1.5707963267948966,1.43116998663535,24,5029
1.5707963267948966,1.4660765716752369,24,4904
1.5707963267948966,1.5009831567151233,26,4239
1.5707963267948966,1.53588974175501,26,4398
1.5707963267948966,1.5707963267948966,26,4238
1.5707963267948966,1.605702911834783,26,4190
1.5707963267948966,1.6406094968746698,28,4267
1.5707963267948966,1.6755160819145563,27,6052
1.5707963267948966,1.710422666954443,28,5799
1.5707963267948966,1.7453292519943295,29,5890
1.5707963267948966,1.780235837034216,29,5574
1.5707963267948966,1.8151424220741028,29,5486
1.5707963267948966,1.8500490071139892,29,5161
1.5707963267948966,1.8849555921538759,30,5082
1.5707963267948966,1.9198621771937625,30,4863
1.5707963267948966,1.9547687622336491,31,4384
1.5707963267948966,1.9896753472735356,31,4068
1.5707963267948966,2.0245819323134224,31,3978
1.5707963267948966,2.0594885173533086,31,3596
1.5707963267948966,2.0943951023931953,31,3486
1.5707963267948966,2.129301687433082,30,3671
1.5707963267948966,2.1642082724729685,31,3885
1.5707963267948966,2.199114857512855,31,3839
1.5707963267948966,2.234021442552742,30,4170
1.5707963267948966,2.2689280275926285,30,4229
1.5707963267948966,2.303834612632515,29,4223
1.5707963267948966,2.3387411976724013,30,4320
1.5707963267948966,2.3736477827122884,29,4410
1.5707963267948966,2.4085543677521746,29,4547
1.5707963267948966,2.443460952792061,29,4742
1.5707963267948966,2.478367537831948,30,4550
1.5707963267948966,2.5132741228718345,30,4158
1.5707963267948966,2.548180707911721,30,4322
1.5707963267948966,2.5830872929516078,31,4256
1.5707963267948966,2.6179938779914944,31,4275
1.5707963267948966,2.6529004630313806,31,4408
1.5707963267948966,2.6878070480712677,31,4395
1.5707963267948966,2.722713633111154,31,4575
1.5707963267948966,2.7576202181510405,31,4926
1.5707963267948966,2.792526803190927,31,5045
1.5707963267948966,2.827433388230814,31,4719
1.5707963267948966,2.8623399732707,31,5294
1.5707963267948966,2.897246558310587,30,5056
1.5707963267948966,2.9321531433504737,30,4909
1.5707963267948966,2.9670597283903604,30,4759
1.5707963267948966,3.0019663134302466,32,3132
1.5707963267948966,3.036872898470133,29,3720
1.5707963267948966,3.07177948351002,29,5492
1.5707963267948966,3.106686068549907,31,4297
