theta,phi,radius, strengths
1.5707963267948966,3.141592653589793,146,4493
1.5707963267948966,3.0543261909900763,23,2403
1.5707963267948966,2.9670597283903604,25,8910
1.5707963267948966,2.8797932657906435,115,6525
1.5707963267948966,2.792526803190927,132,9422
1.5707963267948966,2.705260340591211,127,10949
1.5707963267948966,2.6179938779914944,100,10593
1.5707963267948966,2.5307274153917776,123,10451
1.5707963267948966,2.443460952792061,125,11339
1.5707963267948966,2.356194490192345,128,10964
1.5707963267948966,2.2689280275926285,93,6567
1.5707963267948966,2.1816615649929116,92,6317
1.5707963267948966,2.0943951023931953,101,3081
1.5707963267948966,2.007128639793479,106,5438
1.5707963267948966,1.9198621771937625,101,7651
1.5707963267948966,1.8325957145940461,109,5163
1.5707963267948966,1.7453292519943295,120,3923
1.5707963267948966,1.6580627893946132,136,2624
1.5707963267948966,1.5707963267948966,177,2471
1.5707963267948966,1.4835298641951802,184,1736
1.5707963267948966,1.3962634015954636,151,5820
1.5707963267948966,1.3089969389957472,140,16363
1.5707963267948966,1.2217304763960306,138,13760
1.5707963267948966,1.1344640137963142,238,1766
1.5707963267948966,1.0471975511965976,267,891
1.5707963267948966,0.9599310885968813,292,967
1.5707963267948966,0.8726646259971648,307,667
1.5707963267948966,0.7853981633974483,309,589
1.5707963267948966,0.6981317007977318,165,778
1.5707963267948966,0.6108652381980153,180,3469
1.5707963267948966,0.5235987755982988,42,12739
1.5707963267948966,0.4363323129985824,154,2570
1.5707963267948966,0.3490658503988659,177,2127
1.4835298641951802,0.3490658503988659,181,2827
1.4835298641951802,0.4363323129985824,146,2212
1.4835298641951802,0.5235987755982988,41,13037
1.4835298641951802,0.6108652381980153,183,2683
1.4835298641951802,0.6981317007977318,152,428
1.4835298641951802,0.7853981633974483,175,424
1.4835298641951802,0.8726646259971648,385,872
1.4835298641951802,0.9599310885968813,365,1753
1.4835298641951802,1.0471975511965976,373,2388
1.4835298641951802,1.1344640137963142,342,799
1.4835298641951802,1.2217304763960306,134,16555
1.4835298641951802,1.3089969389957472,137,2362
1.4835298641951802,1.3962634015954636,142,3077
1.4835298641951802,1.4835298641951802,180,3050
1.4835298641951802,1.5707963267948966,162,4243
1.4835298641951802,1.6580627893946132,135,7335
1.4835298641951802,1.7453292519943295,119,10697
1.4835298641951802,1.8325957145940461,106,15974
1.4835298641951802,1.9198621771937625,100,3581
1.4835298641951802,2.007128639793479,109,1909
1.4835298641951802,2.0943951023931953,133,3535
1.4835298641951802,2.1816615649929116,132,6249
1.4835298641951802,2.2689280275926285,128,7510
1.4835298641951802,2.356194490192345,126,11447
1.4835298641951802,2.443460952792061,123,11980
1.4835298641951802,2.5307274153917776,123,12152
1.4835298641951802,2.6179938779914944,123,11986
1.4835298641951802,2.705260340591211,125,11471
1.4835298641951802,2.792526803190927,129,10671
1.4835298641951802,2.8797932657906435,135,9577
1.4835298641951802,2.9670597283903604,142,8420
1.4835298641951802,3.0543261909900763,155,7041
1.4835298641951802,3.141592653589793,145,5402
1.3962634015954636,3.141592653589793,143,5598
1.3962634015954636,3.0543261909900763,152,7348
1.3962634015954636,2.9670597283903604,140,8702
1.3962634015954636,2.8797932657906435,132,10006
1.3962634015954636,2.792526803190927,127,11102
1.3962634015954636,2.705260340591211,124,11951
1.3962634015954636,2.6179938779914944,122,12298
1.3962634015954636,2.5307274153917776,121,12652
1.3962634015954636,2.443460952792061,122,12407
1.3962634015954636,2.356194490192345,124,11910
1.3962634015954636,2.2689280275926285,128,10911
1.3962634015954636,2.1816615649929116,132,10119
1.3962634015954636,2.0943951023931953,134,4630
1.3962634015954636,2.007128639793479,106,6209
1.3962634015954636,1.9198621771937625,97,9990
1.3962634015954636,1.8325957145940461,104,6093
1.3962634015954636,1.7453292519943295,114,3097
1.3962634015954636,1.6580627893946132,131,2913
1.3962634015954636,1.5707963267948966,153,1695
1.3962634015954636,1.4835298641951802,176,2888
1.3962634015954636,1.3962634015954636,214,1689
1.3962634015954636,1.3089969389957472,317,1190
1.3962634015954636,1.2217304763960306,327,2992
1.3962634015954636,1.1344640137963142,323,2464
1.3962634015954636,1.0471975511965976,373,5837
1.3962634015954636,0.9599310885968813,379,2743
1.3962634015954636,0.8726646259971648,379,3679
1.3962634015954636,0.7853981633974483,153,525
1.3962634015954636,0.6981317007977318,158,271
1.3962634015954636,0.6108652381980153,239,524
1.3962634015954636,0.5235987755982988,42,12045
1.3962634015954636,0.4363323129985824,59,2556
1.3962634015954636,0.3490658503988659,236,1455
1.3089969389957472,0.3490658503988659,254,1754
1.3089969389957472,0.4363323129985824,49,3284
1.3089969389957472,0.5235987755982988,44,10409
1.3089969389957472,0.6108652381980153,353,644
1.3089969389957472,0.6981317007977318,156,213
1.3089969389957472,0.7853981633974483,152,293
1.3089969389957472,0.8726646259971648,387,2877
